_DATE,"ITEC
_CODE",SKU,UPC,Status,"Import
Price",Tax,"Import
Fee",Rate,DSP,Cost,"
RSP","Profit 
Margin","Ds
Margin","DS
Profit","Fresco
Margin","Fresco
Profit","Net
Earn Ds
(15%)"
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16ProMax-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16ProMax-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16ProMax-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16Pro-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16Pro-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16Pro-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16Plus-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16Plus-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16Plus-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16-PNK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i16-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15ProMax-RG,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15ProMax-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15ProMax-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15Pro-RG,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15Pro-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15Pro-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15-RG,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15-BLU,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
8/27/2024,IT-CN-S,DUX-PC-FLIP-i15-BLK,,ACTIVE,16.5,0.00,1,1.52,18.3,11.5,25.0,54%,50%,6.7,50%,6.7,3.0
