SKU,UPC,Margin Profit,"IMPORT
Price",DSP,Cost,RSP,"Set
Margin","Fresco
Earning","Fresco
Margin","Purchase
Price","Suggested
Retail Price","Retail
Margin"
DUX-PC-FLIP-iP16E-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-iP16E-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-iP16E-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16ProMax-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16ProMax-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16Pro-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16Pro-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15ProMax-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15ProMax-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15Pro-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15Pro-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i13-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i13-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i12-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i12-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i11-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i11-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-iSE-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-iSE-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i14Pro-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i14Pro-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i16Pro-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15ProMax-RG,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-i15Pro-RG,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Ultra-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Ultra-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Ultra-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Plus-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Plus-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Plus-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Edge-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25Edge-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S25-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24FE-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24FE-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A36(5G)-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A36(5G)-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A16-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A16-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24Ultra-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24Ultra-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24Plus-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24Plus-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24-PNK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S24-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S23Ultra-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S23FE-RG,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S23FE-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S23FE-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S23-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S23-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S22Ultra-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S21FE-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S20-RG,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S20-GLD,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S20-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-NOTE20U-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-A71-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A55(5G)-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A55(5G)-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-SA54/5G-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-SA54/5G-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-SA53/5G-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-SA53/5G-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-A52-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-A52-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A35(5G)-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A35(5G)-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A25(5G)-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A25(5G)-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A15(4G/5G)-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A15(4G/5G)-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-S/A05-BLK,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
DUX-PC-FLIP-Magic6Pro-BLU,,54%,16.5,18.3,11.5,25.0,50%,6,33%,17,30,42%
